time,mac,id,lat,long,board
1466248710,00-17-0d-00-00-60-3c-d9,1,,,
1466248710,00-17-0d-00-00-b0-00-aa,2,-33.11513,-68.48351,
1466256146,00-17-0d-00-00-60-3c-d9,1,,,
1466256146,00-17-0d-00-00-b0-00-aa,2,-33.11513,-68.48351,
1466256146,00-17-0d-00-00-b0-00-cc,3,-33.11566,-68.48086,
1466256146,00-17-0d-00-00-3f-fe-87,4,-33.11444,-68.48024,DC9003
1466256146,00-17-0d-00-00-60-03-82,5,-33.11469,-68.48005,DC9003
1466256146,00-17-0d-00-00-60-05-69,6,-33.11432,-68.4799,DC9003
1466256146,00-17-0d-00-00-58-32-36,7,-33.11464,-68.48015,DC9018
1466256146,00-17-0d-00-00-b0-00-87,8,-33.11483,-68.48033,
1466256146,00-17-0d-00-00-60-01-f8,9,-33.11439,-68.47984,DC9003
1466256146,00-17-0d-00-00-60-05-78,10,-33.11405,-68.47983,DC9003
1466256146,00-17-0d-00-00-30-60-ef,11,-33.11456,-68.48035,DC9018
1466256146,00-17-0d-00-00-60-02-1b,12,-33.11426,-68.47973,DC9003
1466256146,00-17-0d-00-00-60-02-4b,13,-33.11418,-68.47979,DC9003
1466256146,00-17-0d-00-00-3f-f8-20,14,-33.11464,-68.48028,DC9003
1466256146,00-17-0d-00-00-38-0f-66,15,-33.11403,-68.47993,DC9003
1466256146,00-17-0d-00-00-60-05-ab,16,-33.11421,-68.47995,DC9003
1466256146,00-17-0d-00-00-60-06-27,17,-33.11435,-68.48005,DC9003
1466256146,00-17-0d-00-00-60-05-5f,18,-33.11428,-68.48012,DC9003
1466256146,00-17-0d-00-00-3f-fe-88,19,-33.1145,-68.48016,DC9003
1466256146,00-17-0d-00-00-60-08-d5,20,-33.11454,-68.47996,DC9003
1466259697,00-17-0d-00-00-60-3c-d9,1,,,
1466259697,00-17-0d-00-00-b0-00-aa,2,-33.11513,-68.48351,
1466259697,00-17-0d-00-00-b0-00-cc,3,-33.11566,-68.48086,
1466259697,00-17-0d-00-00-3f-fe-87,4,-33.11444,-68.48024,DC9003
1466259697,00-17-0d-00-00-60-03-82,5,-33.11469,-68.48005,DC9003
1466259697,00-17-0d-00-00-60-05-69,6,-33.11432,-68.4799,DC9003
1466259697,00-17-0d-00-00-58-32-36,7,-33.11464,-68.48015,DC9018
1466259697,00-17-0d-00-00-b0-00-87,8,-33.11483,-68.48033,
1466259697,00-17-0d-00-00-60-01-f8,9,-33.11439,-68.47984,DC9003
1466259697,00-17-0d-00-00-60-05-78,10,-33.11405,-68.47983,DC9003
1466259697,00-17-0d-00-00-30-60-ef,11,-33.11456,-68.48035,DC9018
1466259697,00-17-0d-00-00-60-02-1b,12,-33.11426,-68.47973,DC9003
1466259697,00-17-0d-00-00-60-02-4b,13,-33.11418,-68.47979,DC9003
1466259697,00-17-0d-00-00-3f-f8-20,14,-33.11464,-68.48028,DC9003
1466259697,00-17-0d-00-00-38-0f-66,15,-33.11403,-68.47993,DC9003
1466259697,00-17-0d-00-00-60-05-ab,16,-33.11421,-68.47995,DC9003
1466259697,00-17-0d-00-00-60-06-27,17,-33.11435,-68.48005,DC9003
1466259697,00-17-0d-00-00-60-05-5f,18,-33.11428,-68.48012,DC9003
1466259697,00-17-0d-00-00-3f-fe-88,19,-33.1145,-68.48016,DC9003
1466259697,00-17-0d-00-00-60-08-d5,20,-33.11454,-68.47996,DC9003
1466263354,00-17-0d-00-00-60-3c-d9,1,,,
1466263354,00-17-0d-00-00-b0-00-aa,2,-33.11513,-68.48351,
1466263354,00-17-0d-00-00-b0-00-cc,3,-33.11566,-68.48086,
1466263354,00-17-0d-00-00-3f-fe-87,4,-33.11444,-68.48024,DC9003
1466263354,00-17-0d-00-00-60-03-82,5,-33.11469,-68.48005,DC9003
1466263354,00-17-0d-00-00-60-05-69,6,-33.11432,-68.4799,DC9003
1466263354,00-17-0d-00-00-58-32-36,7,-33.11464,-68.48015,DC9018
1466263354,00-17-0d-00-00-b0-00-87,8,-33.11483,-68.48033,
1466263354,00-17-0d-00-00-60-01-f8,9,-33.11439,-68.47984,DC9003
1466263354,00-17-0d-00-00-60-05-78,10,-33.11405,-68.47983,DC9003
1466263354,00-17-0d-00-00-30-60-ef,11,-33.11456,-68.48035,DC9018
1466263354,00-17-0d-00-00-60-02-1b,12,-33.11426,-68.47973,DC9003
1466263354,00-17-0d-00-00-60-02-4b,13,-33.11418,-68.47979,DC9003
1466263354,00-17-0d-00-00-3f-f8-20,14,-33.11464,-68.48028,DC9003
1466263354,00-17-0d-00-00-38-0f-66,15,-33.11403,-68.47993,DC9003
1466263354,00-17-0d-00-00-60-05-ab,16,-33.11421,-68.47995,DC9003
1466263354,00-17-0d-00-00-60-06-27,17,-33.11435,-68.48005,DC9003
1466263354,00-17-0d-00-00-60-05-5f,18,-33.11428,-68.48012,DC9003
1466263354,00-17-0d-00-00-3f-fe-88,19,-33.1145,-68.48016,DC9003
1466263354,00-17-0d-00-00-60-08-d5,20,-33.11454,-68.47996,DC9003
1466266958,00-17-0d-00-00-60-3c-d9,1,,,
1466266958,00-17-0d-00-00-b0-00-aa,2,-33.11513,-68.48351,
1466266958,00-17-0d-00-00-b0-00-cc,3,-33.11566,-68.48086,
1466266958,00-17-0d-00-00-3f-fe-87,4,-33.11444,-68.48024,DC9003
1466266958,00-17-0d-00-00-60-03-82,5,-33.11469,-68.48005,DC9003
1466266958,00-17-0d-00-00-60-05-69,6,-33.11432,-68.4799,DC9003
1466266958,00-17-0d-00-00-58-32-36,7,-33.11464,-68.48015,DC9018
1466266958,00-17-0d-00-00-b0-00-87,8,-33.11483,-68.48033,
1466266958,00-17-0d-00-00-60-01-f8,9,-33.11439,-68.47984,DC9003
1466266958,00-17-0d-00-00-60-05-78,10,-33.11405,-68.47983,DC9003
1466266958,00-17-0d-00-00-30-60-ef,11,-33.11456,-68.48035,DC9018
1466266958,00-17-0d-00-00-60-02-1b,12,-33.11426,-68.47973,DC9003
1466266958,00-17-0d-00-00-60-02-4b,13,-33.11418,-68.47979,DC9003
1466266958,00-17-0d-00-00-3f-f8-20,14,-33.11464,-68.48028,DC9003
1466266958,00-17-0d-00-00-38-0f-66,15,-33.11403,-68.47993,DC9003
1466266958,00-17-0d-00-00-60-05-ab,16,-33.11421,-68.47995,DC9003
1466266958,00-17-0d-00-00-60-06-27,17,-33.11435,-68.48005,DC9003
1466266958,00-17-0d-00-00-60-05-5f,18,-33.11428,-68.48012,DC9003
1466266958,00-17-0d-00-00-3f-fe-88,19,-33.1145,-68.48016,DC9003
1466266958,00-17-0d-00-00-60-08-d5,20,-33.11454,-68.47996,DC9003
1466270444,00-17-0d-00-00-60-3c-d9,1,,,
1466270444,00-17-0d-00-00-b0-00-aa,2,-33.11513,-68.48351,
1466270444,00-17-0d-00-00-b0-00-cc,3,-33.11566,-68.48086,
1466270444,00-17-0d-00-00-3f-fe-87,4,-33.11444,-68.48024,DC9003
1466270444,00-17-0d-00-00-60-03-82,5,-33.11469,-68.48005,DC9003
1466270444,00-17-0d-00-00-60-05-69,6,-33.11432,-68.4799,DC9003
1466270444,00-17-0d-00-00-58-32-36,7,-33.11464,-68.48015,DC9018
1466270444,00-17-0d-00-00-b0-00-87,8,-33.11483,-68.48033,
1466270444,00-17-0d-00-00-60-01-f8,9,-33.11439,-68.47984,DC9003
1466270444,00-17-0d-00-00-60-05-78,10,-33.11405,-68.47983,DC9003
1466270444,00-17-0d-00-00-30-60-ef,11,-33.11456,-68.48035,DC9018
1466270444,00-17-0d-00-00-60-02-1b,12,-33.11426,-68.47973,DC9003
1466270444,00-17-0d-00-00-60-02-4b,13,-33.11418,-68.47979,DC9003
1466270444,00-17-0d-00-00-3f-f8-20,14,-33.11464,-68.48028,DC9003
1466270444,00-17-0d-00-00-38-0f-66,15,-33.11403,-68.47993,DC9003
1466270444,00-17-0d-00-00-60-05-ab,16,-33.11421,-68.47995,DC9003
1466270444,00-17-0d-00-00-60-06-27,17,-33.11435,-68.48005,DC9003
1466270444,00-17-0d-00-00-60-05-5f,18,-33.11428,-68.48012,DC9003
1466270444,00-17-0d-00-00-3f-fe-88,19,-33.1145,-68.48016,DC9003
1466270444,00-17-0d-00-00-60-08-d5,20,-33.11454,-68.47996,DC9003
1466274166,00-17-0d-00-00-60-3c-d9,1,,,
1466274166,00-17-0d-00-00-b0-00-aa,2,-33.11513,-68.48351,
1466274166,00-17-0d-00-00-b0-00-cc,3,-33.11566,-68.48086,
1466274166,00-17-0d-00-00-3f-fe-87,4,-33.11444,-68.48024,DC9003
1466274166,00-17-0d-00-00-60-03-82,5,-33.11469,-68.48005,DC9003
1466274166,00-17-0d-00-00-60-05-69,6,-33.11432,-68.4799,DC9003
1466274166,00-17-0d-00-00-58-32-36,7,-33.11464,-68.48015,DC9018
1466274166,00-17-0d-00-00-b0-00-87,8,-33.11483,-68.48033,
1466274166,00-17-0d-00-00-60-01-f8,9,-33.11439,-68.47984,DC9003
1466274166,00-17-0d-00-00-60-05-78,10,-33.11405,-68.47983,DC9003
1466274166,00-17-0d-00-00-30-60-ef,11,-33.11456,-68.48035,DC9018
1466274166,00-17-0d-00-00-60-02-1b,12,-33.11426,-68.47973,DC9003
1466274166,00-17-0d-00-00-60-02-4b,13,-33.11418,-68.47979,DC9003
1466274166,00-17-0d-00-00-3f-f8-20,14,-33.11464,-68.48028,DC9003
1466274166,00-17-0d-00-00-38-0f-66,15,-33.11403,-68.47993,DC9003
1466274166,00-17-0d-00-00-60-05-ab,16,-33.11421,-68.47995,DC9003
1466274166,00-17-0d-00-00-60-06-27,17,-33.11435,-68.48005,DC9003
1466274166,00-17-0d-00-00-60-05-5f,18,-33.11428,-68.48012,DC9003
1466274166,00-17-0d-00-00-3f-fe-88,19,-33.1145,-68.48016,DC9003
1466274166,00-17-0d-00-00-60-08-d5,20,-33.11454,-68.47996,DC9003
1466277769,00-17-0d-00-00-60-3c-d9,1,,,
1466277769,00-17-0d-00-00-b0-00-aa,2,-33.11513,-68.48351,
1466277769,00-17-0d-00-00-b0-00-cc,3,-33.11566,-68.48086,
1466277769,00-17-0d-00-00-3f-fe-87,4,-33.11444,-68.48024,DC9003
1466277769,00-17-0d-00-00-60-03-82,5,-33.11469,-68.48005,DC9003
1466277769,00-17-0d-00-00-60-05-69,6,-33.11432,-68.4799,DC9003
1466277769,00-17-0d-00-00-58-32-36,7,-33.11464,-68.48015,DC9018
1466277769,00-17-0d-00-00-b0-00-87,8,-33.11483,-68.48033,
1466277769,00-17-0d-00-00-60-01-f8,9,-33.11439,-68.47984,DC9003
1466277769,00-17-0d-00-00-60-05-78,10,-33.11405,-68.47983,DC9003
1466277769,00-17-0d-00-00-30-60-ef,11,-33.11456,-68.48035,DC9018
1466277769,00-17-0d-00-00-60-02-1b,12,-33.11426,-68.47973,DC9003
1466277769,00-17-0d-00-00-60-02-4b,13,-33.11418,-68.47979,DC9003
1466277769,00-17-0d-00-00-3f-f8-20,14,-33.11464,-68.48028,DC9003
1466277769,00-17-0d-00-00-38-0f-66,15,-33.11403,-68.47993,DC9003
1466277769,00-17-0d-00-00-60-05-ab,16,-33.11421,-68.47995,DC9003
1466277769,00-17-0d-00-00-60-06-27,17,-33.11435,-68.48005,DC9003
1466277769,00-17-0d-00-00-60-05-5f,18,-33.11428,-68.48012,DC9003
1466277769,00-17-0d-00-00-3f-fe-88,19,-33.1145,-68.48016,DC9003
1466277769,00-17-0d-00-00-60-08-d5,20,-33.11454,-68.47996,DC9003
1466281247,00-17-0d-00-00-60-3c-d9,1,,,
1466281247,00-17-0d-00-00-b0-00-aa,2,-33.11513,-68.48351,
1466281247,00-17-0d-00-00-b0-00-cc,3,-33.11566,-68.48086,
1466281247,00-17-0d-00-00-3f-fe-87,4,-33.11444,-68.48024,DC9003
1466281247,00-17-0d-00-00-60-03-82,5,-33.11469,-68.48005,DC9003
1466281247,00-17-0d-00-00-60-05-69,6,-33.11432,-68.4799,DC9003
1466281247,00-17-0d-00-00-58-32-36,7,-33.11464,-68.48015,DC9018
1466281247,00-17-0d-00-00-b0-00-87,8,-33.11483,-68.48033,
1466281247,00-17-0d-00-00-60-01-f8,9,-33.11439,-68.47984,DC9003
1466281247,00-17-0d-00-00-60-05-78,10,-33.11405,-68.47983,DC9003
1466281247,00-17-0d-00-00-30-60-ef,11,-33.11456,-68.48035,DC9018
1466281247,00-17-0d-00-00-60-02-1b,12,-33.11426,-68.47973,DC9003
1466281247,00-17-0d-00-00-60-02-4b,13,-33.11418,-68.47979,DC9003
1466281247,00-17-0d-00-00-3f-f8-20,14,-33.11464,-68.48028,DC9003
1466281247,00-17-0d-00-00-38-0f-66,15,-33.11403,-68.47993,DC9003
1466281247,00-17-0d-00-00-60-05-ab,16,-33.11421,-68.47995,DC9003
1466281247,00-17-0d-00-00-60-06-27,17,-33.11435,-68.48005,DC9003
1466281247,00-17-0d-00-00-60-05-5f,18,-33.11428,-68.48012,DC9003
1466281247,00-17-0d-00-00-3f-fe-88,19,-33.1145,-68.48016,DC9003
1466281247,00-17-0d-00-00-60-08-d5,20,-33.11454,-68.47996,DC9003
1466284978,00-17-0d-00-00-60-3c-d9,1,,,
1466284978,00-17-0d-00-00-b0-00-aa,2,-33.11513,-68.48351,
